variant,seed,episode,day,scale,reward,cumulative_reward,decisions,switches,wall_s
pg_elapsed,16,11,0507,0.57,-291810,-12921134,21990,11712,53.8
pg_elapsed,16,12,0506,0.64,-408073,-13329207,25556,11062,66.6
pg_elapsed,16,13,0505,1.22,-862991,-14192198,31677,9950,86.8
pg_elapsed,16,14,0507,1.19,-889096,-15081294,33419,9634,91.8
pg_elapsed,16,15,0506,0.74,-522547,-15603841,24890,11184,81.5
pg_elapsed,16,16,0506,1.09,-1193881,-16797722,33920,9542,149.7
pg_elapsed,16,17,0505,1.19,-806328,-17604050,30680,10132,98.5
pg_elapsed,16,18,0505,1.02,-610580,-18214630,27502,10709,81.1
pg_elapsed,16,19,0506,0.63,-407360,-18621990,23553,11427,90.5
pg_elapsed,16,20,0505,1.13,-756845,-19378835,35725,9214,104.8
pg_elapsed,17,1,0507,0.63,-3348819,-3348819,28035,10612,179.9
pg_elapsed,17,2,0505,0.77,-1714617,-5063436,21097,11874,57.2
pg_elapsed,17,3,0505,0.51,-668187,-5731623,33133,9685,22.5
pg_elapsed,17,4,0505,1.19,-1587803,-7319426,49325,6741,130.4
pg_elapsed,17,5,0507,1.11,-2045344,-9364770,29210,10398,153.7
pg_elapsed,17,6,0506,1.03,-1434809,-10799579,38829,8650,189.4
pg_elapsed,17,7,0507,1.03,-1385189,-12184768,29024,10432,117.2
pg_elapsed,17,8,0506,0.51,-548183,-12732951,38284,8748,47.6
pg_elapsed,17,9,0507,1.04,-1370907,-14103858,28185,10584,131.9
pg_elapsed,17,10,0506,1.18,-1614663,-15718521,42297,8019,282.4
pg_elapsed,17,11,0506,0.83,-1051801,-16770322,36030,9158,105.4
pg_elapsed,17,12,0507,1.05,-1386777,-18157099,27498,10710,127.3
pg_elapsed,17,13,0507,0.97,-1296724,-19453823,25740,11030,96.3
pg_elapsed,17,14,0505,1.12,-1102507,-20556330,35358,9280,120.4
pg_elapsed,17,15,0507,1.08,-1423871,-21980201,27624,10686,145.1
pg_elapsed,17,16,0505,0.93,-957197,-22937398,32636,9776,102.1
pg_elapsed,17,17,0506,0.67,-820351,-23757749,33256,9662,95.1
pg_elapsed,17,18,0506,0.97,-1290812,-25048561,36513,9070,149.3
pg_elapsed,17,19,0505,0.57,-502699,-25551260,30792,10110,81.1
pg_elapsed,17,20,0507,0.51,-608127,-26159387,22617,11598,87.8
pg_elapsed,18,1,0507,1.07,-6820900,-6820900,59491,4892,1314.1
pg_elapsed,18,2,0506,0.77,-2840466,-9661366,19075,12241,336.3
pg_elapsed,18,3,0507,0.88,-4004450,-13665816,53993,5892,535.8
pg_elapsed,18,4,0505,0.54,-435215,-14101031,39621,8506,33.7
pg_elapsed,18,5,0505,1.03,-649436,-14750467,43295,7838,38.5
pg_elapsed,18,6,0507,0.65,-303520,-15053987,33287,9657,38.3
pg_elapsed,18,7,0507,1.06,-673297,-15727284,41584,8148,68.0
pg_elapsed,18,8,0506,1.17,-1295592,-17022876,49562,6698,86.3
pg_elapsed,18,9,0505,1.15,-719103,-17741979,41528,8158,66.4
pg_elapsed,18,10,0506,0.71,-441186,-18183165,38720,8670,58.6
pg_elapsed,18,11,0506,0.98,-853148,-19036313,42508,7980,70.7
pg_elapsed,18,12,0507,0.62,-285646,-19321959,32720,9760,64.5
pg_elapsed,18,13,0507,0.60,-279556,-19601515,33628,9595,63.4
pg_elapsed,18,14,0506,0.63,-354270,-19955785,36598,9056,61.4
pg_elapsed,18,15,0506,0.96,-840507,-20796292,41596,8146,71.4
pg_elapsed,18,16,0505,1.13,-679018,-21475310,39282,8567,70.6
pg_elapsed,18,17,0505,0.53,-216366,-21691676,34178,9495,65.0
pg_elapsed,18,18,0505,1.14,-673824,-22365500,38825,8650,76.4
pg_elapsed,18,19,0505,1.24,-803435,-23168935,39678,8495,83.3
pg_elapsed,18,20,0507,0.60,-276984,-23445919,29359,10372,74.1
pg_elapsed,19,1,0506,1.24,-5592834,-5592834,69732,3030,1368.6
pg_elapsed,19,2,0505,0.74,-1640430,-7233264,62591,4329,106.8
pg_elapsed,19,3,0505,0.71,-859866,-8093130,32133,9867,45.7
pg_elapsed,19,4,0507,0.65,-938912,-9032042,30009,10253,45.2
pg_elapsed,19,5,0505,0.77,-627311,-9659353,47490,7074,50.0
pg_elapsed,19,6,0505,1.10,-805924,-10465277,44905,7544,56.7
pg_elapsed,19,7,0506,0.58,-402115,-10867392,41229,8213,49.3
pg_elapsed,19,8,0507,0.56,-376792,-11244184,34807,9380,40.7
pg_elapsed,19,9,0507,1.06,-814959,-12059143,37401,8909,61.3
pg_elapsed,19,10,0506,1.26,-1683216,-13742359,41035,8248,224.3
pg_elapsed,19,11,0506,0.85,-809923,-14552282,43450,7810,63.6
pg_elapsed,19,12,0506,0.54,-329295,-14881577,26808,10835,61.4
pg_elapsed,19,13,0507,0.56,-288082,-15169659,26490,10893,56.3
pg_elapsed,19,14,0505,1.06,-704021,-15873680,33902,9546,64.7
pg_elapsed,19,15,0505,0.97,-599241,-16472921,31243,10028,65.9
pg_elapsed,19,16,0506,1.19,-1490233,-17963154,38655,8681,156.8
pg_elapsed,19,17,0507,0.64,-349180,-18312334,26222,10942,66.0
pg_elapsed,19,18,0506,1.09,-1259623,-19571957,36642,9048,113.1
pg_elapsed,19,19,0505,0.64,-307965,-19879922,24760,11208,68.8
pg_elapsed,19,20,0505,0.83,-447324,-20327246,27578,10696,74.6
pg_norm,0,1,0507,0.72,-5354940,-5354940,55614,5598,374.3
pg_norm,0,2,0507,1.23,-1862129,-7217069,56561,5426,93.1
pg_norm,0,3,0506,0.96,-1230829,-8447898,43664,7770,61.2
pg_norm,0,4,0506,0.90,-870853,-9318751,44456,7626,36.7
pg_norm,0,5,0506,0.81,-684153,-10002904,42879,7913,29.9
pg_norm,0,6,0507,0.91,-548276,-10551180,32696,9764,30.1
pg_norm,0,7,0507,0.92,-559741,-11110921,35191,9311,32.9
pg_norm,0,8,0506,0.52,-279324,-11390245,35139,9320,28.7
pg_norm,0,9,0507,1.25,-1074414,-12464659,43057,7881,55.6
pg_norm,0,10,0507,0.99,-625860,-13090519,35316,9288,40.4
pg_norm,0,11,0506,1.00,-1040935,-14131454,43891,7729,66.6
pg_norm,0,12,0507,1.23,-1383511,-15514965,41171,8224,62.4
pg_norm,0,13,0507,1.06,-896047,-16411012,42067,8060,58.6
pg_norm,0,14,0505,1.03,-605262,-17016274,36356,9099,52.6
pg_norm,0,15,0507,0.70,-349677,-17365951,30775,10114,51.9
pg_norm,0,16,0507,0.72,-368659,-17734610,31395,10002,54.1
pg_norm,0,17,0507,1.20,-923781,-18658391,40374,8368,72.2
pg_norm,0,18,0505,0.66,-298361,-18956752,34112,9507,53.0
pg_norm,0,19,0506,1.06,-1138937,-20095689,45417,7452,95.1
pg_norm,0,20,0506,0.53,-288102,-20383791,36609,9053,55.6
pg_norm,1,1,0506,1.26,-3188977,-3188977,62681,4313,168.4
pg_norm,1,2,0505,1.16,-1661366,-4850343,53153,6045,106.6
pg_norm,1,3,0506,0.75,-699044,-5549387,46663,7225,26.5
pg_norm,1,4,0507,1.25,-1270995,-6820382,49822,6650,39.6
pg_norm,1,5,0506,0.53,-687538,-7507920,46868,7188,32.1
pg_norm,1,6,0505,1.02,-696336,-8204256,47466,7079,39.1
pg_norm,1,7,0506,0.64,-374612,-8578868,28306,10563,35.6
pg_norm,1,8,0507,1.03,-661902,-9240770,37562,8880,44.9
pg_norm,1,9,0505,0.69,-310466,-9551236,37478,8896,42.0
pg_norm,1,10,0506,0.67,-424801,-9976037,39575,8514,44.6
pg_norm,1,11,0505,1.13,-704334,-10680371,40034,8430,55.0
pg_norm,1,12,0506,1.04,-1039892,-11720263,35607,9236,62.5
pg_norm,1,13,0505,0.62,-264080,-11984343,34596,9419,51.1
pg_norm,1,14,0506,1.00,-975908,-12960251,34882,9367,66.1
pg_norm,1,15,0507,1.16,-804772,-13765023,40833,8285,71.2
pg_norm,1,16,0505,0.83,-404920,-14169943,36745,9028,63.9
pg_norm,1,17,0507,1.00,-614176,-14784119,37809,8835,71.0
pg_norm,1,18,0506,0.97,-918858,-15702977,42914,7907,79.6
pg_norm,1,19,0506,1.29,-1635250,-17338227,48741,6848,148.1
pg_norm,1,20,0506,0.76,-541260,-17879487,42410,7998,75.8
pg_norm,2,1,0507,0.74,-4144712,-4144712,59362,4916,278.5
pg_norm,2,2,0505,0.98,-4373511,-8518223,50152,6591,382.6
