date,time_15min,direction,sensor,vph_raw
0502,13:00,Southbound,advance-260ft,557.0
0502,13:15,Southbound,advance-260ft,397.2
0502,13:30,Southbound,advance-260ft,404.3
0502,13:45,Southbound,advance-260ft,395.1
0502,14:00,Southbound,advance-260ft,419.6
0502,14:15,Southbound,advance-260ft,416.7
0502,14:30,Southbound,advance-260ft,424.6
0502,14:45,Southbound,advance-260ft,440.6
0502,15:00,Southbound,advance-260ft,409.9
0502,15:15,Southbound,advance-260ft,371.8
0502,15:30,Southbound,advance-260ft,366.0
0502,15:45,Southbound,advance-260ft,376.1
0502,16:00,Southbound,advance-260ft,409.1
0502,16:15,Southbound,advance-260ft,383.7
0502,16:30,Southbound,advance-260ft,333.6
0502,16:45,Southbound,advance-260ft,330.5
0502,17:00,Southbound,advance-260ft,393.0
0502,17:15,Southbound,advance-260ft,468.3
0502,17:30,Southbound,advance-260ft,443.1
0502,17:45,Southbound,advance-260ft,632.6
0502,18:00,Southbound,advance-260ft,559.9
0502,18:15,Southbound,advance-260ft,390.7
0502,18:30,Southbound,advance-260ft,295.3
0502,18:45,Southbound,advance-260ft,273.0
0502,19:00,Southbound,advance-260ft,319.7
0502,19:15,Southbound,advance-260ft,369.0
0502,19:30,Southbound,advance-260ft,389.9
0502,19:45,Southbound,advance-260ft,400.3
0502,20:00,Southbound,advance-260ft,459.1
0502,20:15,Southbound,advance-260ft,447.7
0502,20:30,Southbound,advance-260ft,424.0
0502,20:45,Southbound,advance-260ft,404.2
0502,21:00,Southbound,advance-260ft,369.8
0502,21:15,Southbound,advance-260ft,359.9
0502,21:30,Southbound,advance-260ft,378.5
0502,21:45,Southbound,advance-260ft,453.9
0502,22:00,Southbound,advance-260ft,436.5
0502,22:15,Southbound,advance-260ft,406.0
0502,22:30,Southbound,advance-260ft,480.2
0502,22:45,Southbound,advance-260ft,409.6
0502,23:00,Southbound,advance-260ft,414.8
0502,23:15,Southbound,advance-260ft,393.8
0502,23:30,Southbound,advance-260ft,323.5
0502,23:45,Southbound,advance-260ft,
0502,00:00,Northbound,matrix,856.9
0502,00:15,Northbound,matrix,780.9
0502,00:30,Northbound,matrix,731.5
0502,00:45,Northbound,matrix,658.0
0502,01:00,Northbound,matrix,609.9
0502,01:15,Northbound,matrix,629.9
0502,01:30,Northbound,matrix,
0502,01:45,Northbound,matrix,600.4
0502,02:00,Northbound,matrix,577.7
0502,02:15,Northbound,matrix,514.9
0502,02:30,Northbound,matrix,504.3
0502,02:45,Northbound,matrix,
0502,03:00,Northbound,matrix,244.2
0502,03:15,Northbound,matrix,170.9
0502,03:30,Northbound,matrix,
0502,03:45,Northbound,matrix,
0502,04:00,Northbound,matrix,
0502,04:15,Northbound,matrix,
0502,04:30,Northbound,matrix,
0502,04:45,Northbound,matrix,
0502,05:00,Northbound,matrix,
0502,05:15,Northbound,matrix,
0502,05:30,Northbound,matrix,
0502,05:45,Northbound,matrix,
0502,06:00,Northbound,matrix,
0502,06:15,Northbound,matrix,
0502,06:30,Northbound,matrix,
0502,06:45,Northbound,matrix,
0502,07:00,Northbound,matrix,
0502,07:15,Northbound,matrix,
0502,07:30,Northbound,matrix,
0502,07:45,Northbound,matrix,
0502,08:00,Northbound,matrix,
0502,08:15,Northbound,matrix,
0502,08:30,Northbound,matrix,
0502,08:45,Northbound,matrix,
0502,09:00,Northbound,matrix,
0502,09:15,Northbound,matrix,
0502,09:30,Northbound,matrix,
0502,09:45,Northbound,matrix,
0502,10:00,Northbound,matrix,
0502,10:15,Northbound,matrix,
0502,10:30,Northbound,matrix,
0502,10:45,Northbound,matrix,
0502,11:00,Northbound,matrix,
0502,11:15,Northbound,matrix,
0502,11:30,Northbound,matrix,
0502,11:45,Northbound,matrix,
0502,12:00,Northbound,matrix,
0502,12:15,Northbound,matrix,
0502,12:30,Northbound,matrix,
0502,12:45,Northbound,matrix,
