Eastbound 	Westbound 	Northbound 	Southbound 	
L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	Vehicle Total
10:25 PM 	22 	81 	103 	0 	16 	16 	7 	19 	26 	11 	36 	47 	192
10:30 PM 	19 	69 	88 	0 	24 	24 	6 	18 	24 	10 	26 	36 	172
10:35 PM 	19 	111 	130 	3 	19 	22 	7 	21 	28 	4 	30 	34 	214
10:40 PM 	21 	76 	97 	0 	27 	27 	9 	18 	27 	9 	32 	41 	192
10:45 PM 	27 	89 	116 	1 	24 	25 	11 	16 	27 	4 	21 	25 	193
10:50 PM 	14 	67 	81 	3 	25 	28 	14 	19 	33 	4 	20 	24 	166
10:55 PM 	13 	47 	60 	1 	22 	23 	8 	19 	27 	8 	26 	34 	144
11:00 PM 	4 	30 	34 	6 	27 	33 	7 	14 	21 	5 	24 	29 	117
11:05 PM 	10 	57 	67 	4 	20 	24 	11 	21 	32 	9 	25 	34 	157
11:10 PM 	10 	33 	43 	4 	25 	29 	16 	8 	24 	4 	16 	20 	116
11:15 PM 	14 	35 	49 	4 	25 	29 	9 	15 	24 	7 	22 	29 	131
11:20 PM 	6 	38 	44 	1 	39 	40 	12 	14 	26 	8 	12 	20 	130
11:25 PM 	10 	41 	51 	3 	12 	15 	8 	16 	24 	7 	14 	21 	111
11:30 PM 	6 	28 	34 	3 	22 	25 	11 	10 	21 	9 	16 	25 	105
11:35 PM 	5 	25 	30 	4 	23 	27 	12 	14 	26 	7 	21 	28 	111
11:40 PM 	8 	28 	36 	5 	23 	28 	6 	10 	16 	9 	16 	25 	105
11:45 PM 	12 	33 	45 	4 	12 	16 	5 	19 	24 	4 	16 	20 	105
11:50 PM 	8 	35 	43 	2 	13 	15 	4 	13 	17 	7 	15 	22 	97
11:55 PM 	8 	27 	35 	2 	12 	14 	6 	27 	33 	6 	16 	22 	104
Total 	2591 	15776 	18367 	965 	7760 	8725 	2734 	8453 	11187 	2506 	10121 	12627 	50906
